Angle,x,y,x,y
0,1,3,5,55
10,0,0,0.9,-0.9
20,0,0,1.1,-1.1
30,0,0,1.1,-1.1
40,0,-0.5,1.3,-1
50,0,0,1.5,-0.9
60,0,0,1.8,-0.8
70,0,0,2,-0.6
80,0.3,-0.3,2.2,-0.3
90,0.3,-0.3,2,0
100,0.3,-0.3,2,0.1
110,0,0,1.9,0.3
120,0,0,1.7,0.4
130,0,0,1.7,0.4
140,0,0,1.5,0.6
150,0,0,1.4,0.7
160,0,0,1.2,0.8
170,0.6,0,1.2,0.9
180,0.6,0,1.1,1.1
190,0.6,0,1,1
200,0,0,0.6,1.3
210,0,0,0.4,1.2
220,0,0,0.3,1.1
230,0,0,0.2,1
240,0,0,0.2,0.9
250,0,0,0,0.8
260,0,0,0,0.5
270,0,0,0,0
280,0,0,0,0
290,0,0,0.2,-0.2
300,0,0,0.4,-0.2
310,0,0,0.5,-0.5
320,0,0,0.6,-0.4
330,0,0,0.8,-0.4
340,0,0,0.8,-0.5
350,-0.2,0,0.8,-0.6
